match_id,start_time,source_stream,recency_window
8769331997,1776027022,public_matches,2025_2026
8769330345,1776026911,public_matches,2025_2026
8769328983,1776026817,public_matches,2025_2026
8769325413,1776026591,public_matches,2025_2026
8769325372,1776026586,public_matches,2025_2026
8769323863,1776026497,public_matches,2025_2026
8769322196,1776026397,public_matches,2025_2026
8769320621,1776026297,public_matches,2025_2026
8769320296,1776026282,public_matches,2025_2026
8769319481,1776026222,public_matches,2025_2026
8769318550,1776026172,public_matches,2025_2026
8769317236,1776026081,public_matches,2025_2026
8769316987,1776026077,public_matches,2025_2026
8769316841,1776026062,public_matches,2025_2026
8769315835,1776026002,public_matches,2025_2026
8769315627,1776025987,public_matches,2025_2026
8769315419,1776025972,public_matches,2025_2026
8769315239,1776025962,public_matches,2025_2026
8769315226,1776025961,public_matches,2025_2026
8769314785,1776025937,public_matches,2025_2026
8769314471,1776025916,public_matches,2025_2026
8769314308,1776025891,public_matches,2025_2026
8769314132,1776025871,public_matches,2025_2026
8769314031,1776025886,public_matches,2025_2026
8769313806,1776025871,public_matches,2025_2026
8769313793,1776025872,public_matches,2025_2026
8769313781,1776025876,public_matches,2025_2026
8769313770,1776025877,public_matches,2025_2026
8769313718,1776025872,public_matches,2025_2026
8769313366,1776025846,public_matches,2025_2026
8769313290,1776025847,public_matches,2025_2026
8769313273,1776025847,public_matches,2025_2026
8769313256,1776025847,public_matches,2025_2026
8769312996,1776025827,public_matches,2025_2026
8769312882,1776025821,public_matches,2025_2026
8769312855,1776025817,public_matches,2025_2026
8769312616,1776025806,public_matches,2025_2026
8769312526,1776025802,public_matches,2025_2026
8769312492,1776025802,public_matches,2025_2026
8769312371,1776025791,public_matches,2025_2026
8769312334,1776025791,public_matches,2025_2026
8769312309,1776025786,public_matches,2025_2026
8769312268,1776025787,public_matches,2025_2026
8769312201,1776025782,public_matches,2025_2026
8769312171,1776025776,public_matches,2025_2026
8769312113,1776025772,public_matches,2025_2026
8769312101,1776025751,public_matches,2025_2026
8769312015,1776025772,public_matches,2025_2026
8769312007,1776025756,public_matches,2025_2026
8769311957,1776025747,public_matches,2025_2026
8769311914,1776025766,public_matches,2025_2026
8769311901,1776025767,public_matches,2025_2026
8769311878,1776025757,public_matches,2025_2026
8769311850,1776025767,public_matches,2025_2026
8769311722,1776025751,public_matches,2025_2026
8769311652,1776025752,public_matches,2025_2026
8769311649,1776025751,public_matches,2025_2026
8769311560,1776025747,public_matches,2025_2026
8769311473,1776025737,public_matches,2025_2026
8769311436,1776025737,public_matches,2025_2026
8769311312,1776025737,public_matches,2025_2026
8769311299,1776025731,public_matches,2025_2026
8769311257,1776025726,public_matches,2025_2026
8769311234,1776025726,public_matches,2025_2026
8769311201,1776025727,public_matches,2025_2026
8769311125,1776025716,public_matches,2025_2026
8769311112,1776025721,public_matches,2025_2026
8769310963,1776025706,public_matches,2025_2026
8769310910,1776025711,public_matches,2025_2026
8769310876,1776025701,public_matches,2025_2026
8769310872,1776025687,public_matches,2025_2026
8769310846,1776025702,public_matches,2025_2026
8769310843,1776025697,public_matches,2025_2026
8769310834,1776025706,public_matches,2025_2026
8769310821,1776025702,public_matches,2025_2026
8769310809,1776025691,public_matches,2025_2026
8769310800,1776025701,public_matches,2025_2026
8769310797,1776025701,public_matches,2025_2026
8769310792,1776025692,public_matches,2025_2026
8769310777,1776025702,public_matches,2025_2026
8769310691,1776025697,public_matches,2025_2026
8769310685,1776025697,public_matches,2025_2026
8769310665,1776025691,public_matches,2025_2026
8769310639,1776025686,public_matches,2025_2026
8769310563,1776025692,public_matches,2025_2026
8769310558,1776025686,public_matches,2025_2026
8769310551,1776025677,public_matches,2025_2026
8769310543,1776025687,public_matches,2025_2026
8769310521,1776025687,public_matches,2025_2026
8769310519,1776025686,public_matches,2025_2026
8769310449,1776025682,public_matches,2025_2026
8769310407,1776025672,public_matches,2025_2026
8769310362,1776025677,public_matches,2025_2026
8769310322,1776025661,public_matches,2025_2026
8769310313,1776025672,public_matches,2025_2026
8769310306,1776025671,public_matches,2025_2026
8769310289,1776025662,public_matches,2025_2026
8769310274,1776025671,public_matches,2025_2026
8769310226,1776025667,public_matches,2025_2026
8769310157,1776025661,public_matches,2025_2026
